title,url,event_id,description
CS Badminton,https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1342980025,1342980025,"Tuesday, January 20, 2026, 7 - 9:30pm Woodruff PE Center Court #3"
IM 5v5 Basketball Training,https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1342937211,1342937211,"Wednesday, January 21, 2026, 7 - 9pm Woodruff PE Center Auxillary Court, Woodruff PE Center Auxillary Court 2, Woodruff PE Center Auxillary Court 1"
CS Women's Soccer,https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1342979776,1342979776,"Thursday, January 22, 2026, 7 - 8:30pm Woodruff PE Center Candler Field #3, Woodruff PE Center Candler Field #4"
CS Fencing,https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1342980026,1342980026,"Tuesday, January 20, 2026, 7 - 9pm Woodruff PE Center Court #4"
CS Tennis,https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1343069995,1343069995,"Wednesday, January 21, 2026, 7 - 8:30pm Woodruff PE Center Indoor Tennis court #7 (roof), Woodruff PE Center Indoor Tennis court #8 (roof), Woodruff PE Center Indoor Tennis court #9 (roof), Woodruff PE Center Indoor Tennis court #10 (roof), Woodruff PE Center Indoor Tennis Court  #11,…"
IM 5v5 Basketball Training,https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1342937212,1342937212,"Thursday, January 22, 2026, 7 - 9pm Woodruff PE Center Auxillary Court, Woodruff PE Center Auxillary Court 2, Woodruff PE Center Auxillary Court 1"
Pre Trip Meeting,https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1343383881,1343383881,"Tuesday, January 20, 2026, 7 - 8pm Woodruff PE Center 2nd conference room"
CS Swimming,https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1343066430,1343066430,"Wednesday, January 21, 2026, 7 - 8:30pm Woodruff PE Center Pool lap lane"
CS Tennis,https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1343069996,1343069996,"Thursday, January 22, 2026, 7 - 8:30pm Woodruff PE Center Indoor Tennis court #7 (roof), Woodruff PE Center Indoor Tennis court #8 (roof), Woodruff PE Center Indoor Tennis court #9 (roof), Woodruff PE Center Indoor Tennis court #10 (roof), Woodruff PE Center Indoor Tennis Court  #11,…"
Spring Auditions,https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1347779597,1347779597,"Tuesday, January 20, 2026, 7:30 - 10pm Woodruff PE Center Aerobics Room"
